 ICUT ,TP.ENTID,ID.ENT,   NomeEntid   ,TP.COEF,ILAG ,IPAT ,     Val.Coef      ,      Unid      
29, USIH   ,249, OURINHOS      , VARM  ,0,1,-409.921, (1000$/hm3)    
29, USIH   ,241, SLT VERDINHO  , VARM  ,0,1,-407.69, (1000$/hm3)    
29, USIH   ,304, ITIQUIRA I    , VARM  ,0,1,-389.975, (1000$/hm3)    
29, USIH   ,305, ITIQUIRA II   , VARM  ,0,1,-241.995, (1000$/hm3)    
29, USIH   ,196, GUAPORE       , VARM  ,0,1,-307.813, (1000$/hm3)    
29, USIH   ,195, JAURU         , VARM  ,0,1,-180.095, (1000$/hm3)    
29, USIH   ,95, QUEBRA QUEIX  , VARM  ,0,1,-206.669, (1000$/hm3)    
29, USIH   ,203, CORUMBA III   , VARM  ,0,1,-786.081, (1000$/hm3)    
29, USIH   ,154, ITAPEBI       , VARM  ,0,1,-142.225, (1000$/hm3)    
29, USIH   ,310, DARDANELOS    , VARM  ,0,1,-173.972, (1000$/hm3)    
29, USIH   ,29, CORUMBA IV    , VARM  ,0,1,-900.618, (1000$/hm3)    
29, USIH   ,94, MONJOLINHO    , VARM  ,0,1,-159.432, (1000$/hm3)    
29, USIH   ,215, SALTO PILAO   , VARM  ,0,1,-352.416, (1000$/hm3)    
29, USIH   ,155, RETIRO BAIXO  , VARM  ,0,1,-363.06, (1000$/hm3)    
29, USIH   ,311, CACU          , VARM  ,0,1,-500.898, (1000$/hm3)    
29, USIH   ,312, B. COQUEIROS  , VARM  ,0,1,-451.093, (1000$/hm3)    
